id,product,sku,warehouse,quantity,reorder_level,status,updated_at
604,Card NavajoWhite,SKU-100604,WH-B,1419,153,Low Stock,2025-03-11T02:46:48
605,Gun OliveDrab,SKU-100605,WH-C,14,367,Backordered,2024-08-20T01:10:59
606,Exactly PaleVioletRed,SKU-100606,Main Warehouse,842,189,Available,2022-12-02T11:53:01
607,Turn GoldenRod,SKU-100607,WH-A,1368,386,Discontinued,2023-06-21T10:23:21
608,Often Salmon,SKU-100608,WH-A,688,223,Backordered,2024-12-04T02:17:59
609,Across MediumAquaMarine,SKU-100609,WH-A,1254,420,Backordered,2025-10-06T06:36:04
610,Just LightSlateGray,SKU-100610,WH-A,632,263,Backordered,2025-09-06T10:36:16
611,Hope DarkSlateGray,SKU-100611,WH-B,1271,286,Available,2025-06-22T11:14:58
612,Save OldLace,SKU-100612,WH-B,957,29,Backordered,2025-09-03T13:54:30
613,Line Wheat,SKU-100613,WH-C,1701,335,Low Stock,2023-06-24T17:58:54
614,Field Yellow,SKU-100614,WH-C,1717,176,Available,2023-12-25T04:24:26
615,Receive LemonChiffon,SKU-100615,WH-A,1041,475,Low Stock,2024-02-05T16:46:35
616,North Yellow,SKU-100616,Main Warehouse,1761,48,Available,2023-03-15T16:18:09
617,Thousand Orchid,SKU-100617,WH-A,1316,112,Backordered,2024-03-03T23:24:53
618,Card Wheat,SKU-100618,Main Warehouse,654,325,Backordered,2023-01-25T20:24:25
619,Magazine RosyBrown,SKU-100619,WH-B,1534,305,Low Stock,2023-11-20T07:43:20
620,Star Linen,SKU-100620,WH-A,1298,499,Low Stock,2024-03-16T05:04:24
621,Sing DarkGray,SKU-100621,WH-B,983,205,Discontinued,2023-11-17T06:56:16
622,All DarkSalmon,SKU-100622,Main Warehouse,1194,349,Discontinued,2024-03-24T06:58:54
623,Involve DarkSlateGray,SKU-100623,WH-B,1587,95,Backordered,2024-07-16T07:53:05
624,Television Brown,SKU-100624,WH-B,474,285,Discontinued,2025-02-02T18:25:12
625,Each MidnightBlue,SKU-100625,WH-A,1164,138,Available,2025-06-27T10:22:23
626,Difficult LightPink,SKU-100626,WH-A,1280,431,Low Stock,2023-12-10T03:23:06
627,Always Sienna,SKU-100627,WH-A,1711,328,Low Stock,2023-06-12T14:51:08
628,Meet LightCyan,SKU-100628,WH-C,259,153,Low Stock,2024-08-17T13:13:36
629,Worry LightSteelBlue,SKU-100629,WH-C,4,203,Discontinued,2025-06-09T10:47:41
630,Growth LightBlue,SKU-100630,WH-B,1049,391,Low Stock,2025-09-09T11:23:13
631,Cup Chocolate,SKU-100631,WH-C,839,107,Low Stock,2023-01-16T20:06:20
632,Game Beige,SKU-100632,WH-C,1381,274,Low Stock,2024-09-09T22:30:50
633,Often DeepSkyBlue,SKU-100633,WH-B,527,116,Discontinued,2024-07-07T00:05:26
634,Trip DarkOrange,SKU-100634,WH-C,209,490,Discontinued,2024-07-16T00:46:33
635,Eat MediumVioletRed,SKU-100635,Main Warehouse,1848,323,Backordered,2025-06-03T06:07:22
636,Employee DarkSalmon,SKU-100636,WH-A,1039,232,Backordered,2023-08-16T00:42:02
637,Model SlateGray,SKU-100637,WH-C,359,155,Low Stock,2024-12-17T21:31:00
638,Low MediumBlue,SKU-100638,WH-B,785,493,Low Stock,2024-10-30T02:17:08
639,Interview Indigo,SKU-100639,WH-C,703,20,Discontinued,2024-06-24T21:19:01
640,Production AntiqueWhite,SKU-100640,WH-C,418,184,Available,2023-02-15T13:03:34
641,Natural SkyBlue,SKU-100641,WH-C,334,398,Backordered,2023-06-02T17:32:38
642,Rock Violet,SKU-100642,WH-C,1800,481,Discontinued,2023-03-27T01:22:02
643,Civil PaleVioletRed,SKU-100643,WH-A,509,301,Discontinued,2023-04-11T06:07:09
644,Easy MediumSeaGreen,SKU-100644,Main Warehouse,580,177,Low Stock,2024-10-27T16:50:06
645,Specific OliveDrab,SKU-100645,WH-C,1230,59,Discontinued,2024-01-11T05:36:12
646,Across Black,SKU-100646,Main Warehouse,672,32,Backordered,2024-07-15T20:08:25
647,Eat Ivory,SKU-100647,Main Warehouse,255,420,Low Stock,2024-05-22T00:33:44
648,Hotel RoyalBlue,SKU-100648,WH-A,77,400,Backordered,2025-03-03T10:13:44
649,His Aqua,SKU-100649,WH-C,279,291,Discontinued,2023-10-25T10:09:19
650,Spend LimeGreen,SKU-100650,WH-B,1913,150,Backordered,2024-01-15T06:00:04
651,Situation DarkOrchid,SKU-100651,Main Warehouse,1365,203,Discontinued,2023-08-12T01:05:15
652,Law DarkCyan,SKU-100652,Main Warehouse,921,311,Backordered,2023-01-18T10:12:43
653,Choose NavajoWhite,SKU-100653,Main Warehouse,33,219,Available,2024-01-01T15:52:47
654,Note Violet,SKU-100654,Main Warehouse,1434,446,Available,2024-05-24T17:43:56
655,Make MediumBlue,SKU-100655,Main Warehouse,1196,36,Available,2023-06-24T15:11:27
656,Song DarkSlateGray,SKU-100656,WH-C,1272,235,Available,2024-10-06T13:56:21
657,Bed White,SKU-100657,WH-A,53,398,Low Stock,2024-04-27T01:42:18
658,Task DarkOrange,SKU-100658,WH-C,1630,497,Discontinued,2025-10-09T16:22:23
659,Quality Violet,SKU-100659,WH-A,689,210,Discontinued,2024-06-27T09:24:39
660,Scientist DarkGray,SKU-100660,WH-C,857,231,Backordered,2025-05-08T04:16:32
661,Yes Navy,SKU-100661,WH-A,1336,183,Available,2025-07-15T12:39:16
662,Significant SlateGray,SKU-100662,Main Warehouse,1932,20,Available,2023-04-22T23:07:58
663,Summer LightGoldenRodYellow,SKU-100663,Main Warehouse,1006,349,Backordered,2023-04-29T05:15:57
664,Wear Linen,SKU-100664,WH-C,1152,464,Low Stock,2024-10-25T13:10:39
665,Partner LightGoldenRodYellow,SKU-100665,WH-B,581,365,Low Stock,2024-03-07T10:26:33
666,Employee LimeGreen,SKU-100666,WH-C,1250,464,Discontinued,2023-10-23T18:30:10
667,Between DarkSeaGreen,SKU-100667,WH-C,38,462,Backordered,2023-09-04T06:38:01
668,Admit DarkSlateGray,SKU-100668,WH-C,1555,475,Available,2023-06-14T16:18:02
669,Boy NavajoWhite,SKU-100669,WH-C,1600,219,Discontinued,2023-04-29T14:07:12
670,Use Salmon,SKU-100670,WH-B,992,185,Backordered,2024-04-28T09:36:42
671,While DarkOrange,SKU-100671,WH-A,277,432,Backordered,2023-11-13T17:57:46
672,Hope DarkSlateBlue,SKU-100672,WH-B,1628,297,Discontinued,2025-08-15T17:43:31
673,Very LimeGreen,SKU-100673,WH-A,965,435,Low Stock,2024-07-23T10:43:35
674,Successful Yellow,SKU-100674,WH-C,1641,238,Available,2023-04-12T18:15:09
675,When DeepPink,SKU-100675,WH-C,1963,27,Low Stock,2023-02-01T02:47:25
676,Particular MediumBlue,SKU-100676,WH-C,114,451,Low Stock,2023-05-16T14:25:01
677,Agent MediumPurple,SKU-100677,WH-C,1784,371,Discontinued,2025-05-05T00:55:06
678,Reveal DarkGoldenRod,SKU-100678,Main Warehouse,1524,98,Discontinued,2025-07-25T00:47:38
679,Special RoyalBlue,SKU-100679,WH-C,1053,414,Available,2024-12-19T21:19:15
680,Year LightSlateGray,SKU-100680,Main Warehouse,1557,397,Low Stock,2023-08-04T23:46:36
681,Only LightCoral,SKU-100681,WH-C,1173,135,Discontinued,2024-12-23T23:41:15
682,Middle Plum,SKU-100682,WH-A,1374,207,Low Stock,2024-03-08T04:05:41
683,Future Navy,SKU-100683,WH-C,1048,189,Low Stock,2025-03-24T14:16:48
684,Find SlateGray,SKU-100684,WH-A,1474,440,Available,2023-05-03T23:16:40
685,Eat LightBlue,SKU-100685,WH-A,1576,50,Low Stock,2024-06-28T17:18:43
686,Bring Indigo,SKU-100686,Main Warehouse,1124,305,Discontinued,2025-06-29T15:49:20
687,Wrong DarkGoldenRod,SKU-100687,WH-C,172,422,Low Stock,2023-02-12T22:37:30
688,Worker MistyRose,SKU-100688,WH-A,1554,160,Backordered,2024-05-29T16:49:04
689,Maybe Olive,SKU-100689,WH-B,1856,454,Discontinued,2023-10-02T11:13:29
690,Across OliveDrab,SKU-100690,Main Warehouse,717,278,Discontinued,2024-04-08T03:05:01
691,Such SandyBrown,SKU-100691,Main Warehouse,99,466,Low Stock,2022-11-19T06:45:41
692,Determine GhostWhite,SKU-100692,Main Warehouse,670,222,Low Stock,2025-08-21T17:21:40
693,Remember Pink,SKU-100693,WH-A,1936,109,Discontinued,2023-03-24T09:23:39
694,While SteelBlue,SKU-100694,WH-B,519,165,Backordered,2025-05-15T05:31:40
695,Analysis Orchid,SKU-100695,WH-B,1287,314,Backordered,2024-09-24T07:22:27
696,Early Tan,SKU-100696,Main Warehouse,1041,409,Discontinued,2025-07-05T03:16:09
697,Why Olive,SKU-100697,WH-B,476,63,Available,2024-06-24T00:40:28
698,Party Indigo,SKU-100698,WH-B,401,123,Backordered,2023-08-09T09:59:05
699,Its DarkSeaGreen,SKU-100699,Main Warehouse,1391,225,Available,2025-01-28T06:20:52
700,All SpringGreen,SKU-100700,Main Warehouse,1462,441,Available,2023-06-13T13:07:22
701,Congress DarkTurquoise,SKU-100701,Main Warehouse,1807,122,Available,2025-06-20T21:15:58
702,Option DarkOrange,SKU-100702,Main Warehouse,617,153,Backordered,2023-07-09T07:49:30
703,Same LightSkyBlue,SKU-100703,Main Warehouse,945,463,Discontinued,2025-10-15T23:02:24
704,Upon Tomato,SKU-100704,WH-B,1382,221,Low Stock,2025-05-24T11:35:03
705,Yourself LightYellow,SKU-100705,Main Warehouse,501,492,Discontinued,2024-02-15T00:29:38
706,And Navy,SKU-100706,Main Warehouse,1102,170,Available,2023-10-21T05:47:56
707,Way MediumSlateBlue,SKU-100707,Main Warehouse,1666,263,Backordered,2023-11-15T19:44:02
708,Research Peru,SKU-100708,Main Warehouse,1978,405,Backordered,2023-01-21T01:20:08
709,Enter Thistle,SKU-100709,WH-C,1401,156,Low Stock,2024-04-01T18:09:29
710,Stuff MediumTurquoise,SKU-100710,WH-C,1718,267,Backordered,2024-07-30T03:19:48
711,Memory LightBlue,SKU-100711,WH-B,1203,191,Low Stock,2025-05-21T09:53:50
712,High Ivory,SKU-100712,Main Warehouse,1535,245,Backordered,2025-03-20T19:59:19
713,Local LightGreen,SKU-100713,WH-A,1970,395,Low Stock,2025-09-11T16:18:44
714,Wife Olive,SKU-100714,Main Warehouse,797,248,Discontinued,2023-11-29T18:29:41
715,Everything Coral,SKU-100715,Main Warehouse,576,22,Backordered,2023-02-14T09:14:04
716,Daughter Gold,SKU-100716,WH-B,46,500,Discontinued,2025-06-08T12:01:18
717,Sister Red,SKU-100717,Main Warehouse,956,191,Available,2023-09-05T00:34:27
718,Least Cornsilk,SKU-100718,WH-C,1222,237,Backordered,2023-04-13T22:20:16
719,Represent SandyBrown,SKU-100719,WH-B,610,55,Available,2025-07-03T20:10:05
720,Hot NavajoWhite,SKU-100720,WH-C,1544,251,Low Stock,2024-10-25T19:39:25
721,Rest LightGray,SKU-100721,WH-B,121,328,Available,2023-05-19T21:28:00
722,Author SaddleBrown,SKU-100722,WH-A,1317,377,Available,2023-10-14T16:36:56
723,Property BlanchedAlmond,SKU-100723,WH-C,1512,27,Discontinued,2025-03-03T02:23:12
724,Ability PeachPuff,SKU-100724,WH-C,815,192,Low Stock,2025-01-26T10:50:43
725,Job LightSkyBlue,SKU-100725,WH-B,1525,158,Backordered,2022-12-26T20:00:09
726,Style LemonChiffon,SKU-100726,WH-C,500,278,Backordered,2024-03-23T02:52:24
727,Key GreenYellow,SKU-100727,Main Warehouse,748,135,Backordered,2023-01-10T15:49:06
728,Product Silver,SKU-100728,WH-B,1871,112,Low Stock,2024-12-09T20:01:17
729,Current DeepPink,SKU-100729,Main Warehouse,880,26,Available,2024-02-23T20:21:50
730,Sort Purple,SKU-100730,WH-A,532,248,Available,2024-07-24T18:40:02
731,Hour DimGray,SKU-100731,WH-A,143,40,Low Stock,2024-03-13T22:32:04
732,Current Tan,SKU-100732,WH-C,1197,395,Backordered,2024-08-24T18:53:11
733,Water GoldenRod,SKU-100733,Main Warehouse,159,50,Discontinued,2022-11-29T14:17:23
734,Itself HotPink,SKU-100734,WH-C,164,54,Available,2023-03-11T18:23:11
735,Home Khaki,SKU-100735,WH-C,1028,120,Discontinued,2025-07-12T14:46:37
736,Teach DarkSeaGreen,SKU-100736,WH-C,822,228,Available,2025-07-07T19:52:17
737,Buy Bisque,SKU-100737,WH-C,1495,166,Discontinued,2023-04-15T06:23:42
738,Population Salmon,SKU-100738,Main Warehouse,870,482,Available,2023-11-25T01:23:16
739,Structure SeaGreen,SKU-100739,Main Warehouse,1046,259,Available,2025-04-18T07:23:08
740,Build Navy,SKU-100740,WH-C,1475,246,Discontinued,2025-09-07T03:40:49
741,Machine LightSlateGray,SKU-100741,Main Warehouse,1374,343,Discontinued,2025-02-04T04:22:12
742,Which Turquoise,SKU-100742,WH-B,1450,324,Available,2025-10-16T19:35:51
743,Talk DarkTurquoise,SKU-100743,WH-C,1458,78,Backordered,2024-03-16T05:58:15
744,Reveal LavenderBlush,SKU-100744,Main Warehouse,702,317,Backordered,2024-07-14T13:18:51
745,Wide GreenYellow,SKU-100745,WH-A,1078,338,Available,2023-07-29T21:47:35
746,Thing Aquamarine,SKU-100746,WH-C,1471,94,Low Stock,2024-06-03T20:29:56
747,Religious DeepPink,SKU-100747,WH-B,7,383,Low Stock,2024-04-24T02:54:33
748,Purpose Red,SKU-100748,WH-B,1016,226,Backordered,2023-06-21T20:00:06
749,Wind FloralWhite,SKU-100749,WH-A,646,152,Discontinued,2023-09-07T08:36:36
750,Movement Maroon,SKU-100750,WH-B,1276,283,Discontinued,2023-05-01T14:31:19
751,Sport LightBlue,SKU-100751,WH-B,1873,89,Available,2023-06-19T15:57:51
752,Note Magenta,SKU-100752,WH-C,112,191,Available,2023-11-12T18:47:23
753,Summer Indigo,SKU-100753,WH-B,1793,55,Discontinued,2024-09-22T13:20:41
754,Out OldLace,SKU-100754,Main Warehouse,66,167,Discontinued,2023-05-18T03:54:42
755,Most SlateGray,SKU-100755,WH-C,923,454,Low Stock,2024-10-20T20:28:51
756,Science DarkOliveGreen,SKU-100756,WH-B,1130,312,Available,2023-07-24T06:29:21
757,Reality Silver,SKU-100757,WH-C,929,385,Backordered,2025-08-13T20:13:00
758,Money DarkViolet,SKU-100758,WH-B,534,243,Backordered,2023-09-06T05:22:21
759,Claim Gray,SKU-100759,WH-C,1694,75,Available,2023-07-31T03:09:51
760,Book Olive,SKU-100760,WH-B,670,320,Backordered,2024-11-22T14:11:23
761,Notice SlateGray,SKU-100761,WH-C,211,18,Low Stock,2024-10-28T20:16:05
762,Interesting CadetBlue,SKU-100762,WH-B,1603,268,Discontinued,2023-07-19T14:25:41
763,Task Coral,SKU-100763,WH-B,1716,192,Available,2025-08-24T04:13:15
764,Action SlateBlue,SKU-100764,Main Warehouse,847,168,Discontinued,2023-12-25T06:20:09
765,Why MediumAquaMarine,SKU-100765,Main Warehouse,619,58,Low Stock,2024-01-25T11:16:42
766,Beyond LightSteelBlue,SKU-100766,WH-A,1985,114,Backordered,2023-11-20T14:59:42
767,Vote Navy,SKU-100767,WH-A,1035,355,Low Stock,2023-05-13T12:09:53
768,Safe Red,SKU-100768,WH-A,289,191,Backordered,2025-10-13T19:32:51
769,Win LightYellow,SKU-100769,WH-B,547,471,Discontinued,2024-09-02T05:49:04
770,Dinner SkyBlue,SKU-100770,WH-C,1094,427,Available,2023-05-27T11:20:32
771,Poor Bisque,SKU-100771,WH-C,430,496,Backordered,2025-05-12T17:45:46
772,Recognize FireBrick,SKU-100772,WH-B,1420,70,Discontinued,2025-09-28T06:42:27
773,Serious Chocolate,SKU-100773,WH-C,703,458,Available,2025-08-11T22:53:01
774,Beat PaleGreen,SKU-100774,WH-C,1445,463,Available,2024-05-21T12:15:05
775,Mother Fuchsia,SKU-100775,WH-B,1988,293,Discontinued,2024-06-17T11:41:19
776,Bank Aquamarine,SKU-100776,WH-C,739,423,Available,2024-03-21T07:00:26
777,Risk PaleGoldenRod,SKU-100777,Main Warehouse,943,186,Low Stock,2024-07-02T02:08:54
778,Class LemonChiffon,SKU-100778,WH-B,1101,115,Available,2022-12-13T08:16:49
779,List HotPink,SKU-100779,WH-B,637,282,Available,2023-10-24T19:44:08
780,Name LightGoldenRodYellow,SKU-100780,WH-A,1499,38,Low Stock,2024-10-24T04:14:54
781,Skill NavajoWhite,SKU-100781,WH-A,1677,142,Discontinued,2025-01-24T08:57:39
782,Everybody Brown,SKU-100782,WH-B,530,75,Low Stock,2024-08-16T09:24:58
783,Bar White,SKU-100783,WH-C,1873,90,Available,2023-05-21T12:53:31
784,He DarkSlateGray,SKU-100784,WH-C,1176,247,Low Stock,2025-03-10T14:52:37
785,White DimGray,SKU-100785,WH-A,1721,310,Available,2025-09-23T11:20:50
786,Report DarkSalmon,SKU-100786,WH-B,129,273,Backordered,2024-03-22T17:36:34
787,Stand Fuchsia,SKU-100787,WH-B,967,473,Low Stock,2025-01-04T19:59:59
788,Claim DarkOrchid,SKU-100788,WH-C,185,54,Backordered,2024-03-26T13:03:16
789,Budget Gold,SKU-100789,Main Warehouse,180,110,Low Stock,2025-10-26T05:48:55
790,Board Blue,SKU-100790,WH-A,680,461,Backordered,2023-12-12T16:35:13
791,Well Magenta,SKU-100791,WH-C,400,444,Available,2023-06-27T17:00:22
792,Education MidnightBlue,SKU-100792,WH-A,656,124,Available,2025-05-21T23:59:02
793,Discussion DarkKhaki,SKU-100793,WH-B,120,423,Backordered,2023-12-27T20:48:50
794,Myself LightGoldenRodYellow,SKU-100794,WH-C,21,240,Discontinued,2022-12-28T16:29:51
795,Meeting MediumSeaGreen,SKU-100795,WH-A,1375,374,Available,2025-07-23T03:04:28
796,Physical BlanchedAlmond,SKU-100796,WH-A,1262,464,Discontinued,2023-09-12T03:17:35
797,Small LightGray,SKU-100797,WH-C,1257,291,Backordered,2024-01-16T01:15:31
798,Start Plum,SKU-100798,WH-C,654,243,Discontinued,2024-10-05T17:23:05
799,When FireBrick,SKU-100799,Main Warehouse,486,393,Backordered,2023-02-16T18:44:49
800,Relate Fuchsia,SKU-100800,WH-C,1815,165,Available,2024-02-14T20:28:42
801,Nor Wheat,SKU-100801,WH-B,1223,312,Available,2024-10-24T19:50:12
802,Owner AliceBlue,SKU-100802,WH-B,832,490,Backordered,2023-04-08T11:33:24
803,Modern DarkKhaki,SKU-100803,WH-C,312,38,Discontinued,2024-01-27T01:09:54
804,Various GoldenRod,SKU-100804,WH-C,1401,52,Available,2025-02-17T03:01:23
805,Guy SpringGreen,SKU-100805,WH-A,858,63,Discontinued,2023-02-23T00:46:02
806,He Thistle,SKU-100806,Main Warehouse,1413,325,Available,2025-08-24T12:53:06
807,I White,SKU-100807,WH-A,120,468,Low Stock,2024-02-19T22:01:06
808,Size LightSteelBlue,SKU-100808,WH-B,1360,138,Low Stock,2025-09-12T00:17:55
809,North DarkOrange,SKU-100809,WH-A,828,284,Low Stock,2023-06-11T07:07:31
810,Today Beige,SKU-100810,Main Warehouse,1688,267,Low Stock,2024-02-23T08:09:34
811,Degree DarkCyan,SKU-100811,WH-B,1407,52,Discontinued,2025-06-06T10:28:42
812,Summer Azure,SKU-100812,WH-C,1900,336,Discontinued,2025-04-26T03:23:57
813,Pattern LemonChiffon,SKU-100813,WH-B,1331,410,Discontinued,2024-11-06T08:36:22
814,Hotel Yellow,SKU-100814,Main Warehouse,1955,84,Available,2025-01-17T22:57:10
815,Glass MistyRose,SKU-100815,WH-B,1293,148,Discontinued,2023-06-03T22:23:17
816,Eat SeaGreen,SKU-100816,WH-A,1527,11,Available,2025-08-13T09:00:57
817,Degree OrangeRed,SKU-100817,WH-C,1164,127,Low Stock,2023-05-01T15:44:04
818,Public CadetBlue,SKU-100818,WH-C,1008,76,Low Stock,2023-06-12T17:51:11
819,Real LightSeaGreen,SKU-100819,Main Warehouse,100,370,Low Stock,2023-06-07T19:02:25
820,Phone AliceBlue,SKU-100820,WH-B,298,25,Available,2023-10-02T06:30:26
821,Message Gainsboro,SKU-100821,Main Warehouse,1869,442,Backordered,2023-10-19T00:32:41
822,These Gainsboro,SKU-100822,WH-C,1260,262,Low Stock,2023-04-13T08:50:47
823,And HotPink,SKU-100823,WH-C,1648,107,Discontinued,2025-09-06T14:38:11
824,Study DarkGoldenRod,SKU-100824,WH-A,296,322,Backordered,2023-05-11T09:50:59
825,Sing GoldenRod,SKU-100825,WH-A,604,181,Low Stock,2025-05-03T13:00:47
826,Treat MistyRose,SKU-100826,WH-A,678,356,Available,2024-05-20T13:26:21
827,Challenge PaleVioletRed,SKU-100827,WH-B,1870,333,Discontinued,2024-05-16T05:02:30
828,Start FloralWhite,SKU-100828,WH-A,1650,204,Available,2024-05-04T02:00:23
829,Game Chocolate,SKU-100829,WH-C,1131,24,Low Stock,2025-01-16T15:24:19
830,Life DarkViolet,SKU-100830,WH-B,536,16,Discontinued,2024-12-06T13:16:00
831,Employee LightSteelBlue,SKU-100831,WH-C,1735,163,Discontinued,2023-02-17T18:00:42
832,Identify Tan,SKU-100832,WH-C,923,498,Discontinued,2024-10-04T13:03:36
833,Democrat BlueViolet,SKU-100833,WH-C,85,377,Available,2023-05-21T06:33:54
834,Bar FireBrick,SKU-100834,WH-C,1783,52,Backordered,2023-05-28T05:30:07
835,Party DarkViolet,SKU-100835,Main Warehouse,803,362,Backordered,2023-07-31T10:50:49
836,Sea MintCream,SKU-100836,WH-B,72,58,Discontinued,2024-12-08T17:48:14
837,He MediumAquaMarine,SKU-100837,WH-C,1284,440,Backordered,2024-05-30T03:12:22
838,Whom DeepSkyBlue,SKU-100838,Main Warehouse,1649,78,Low Stock,2023-04-23T02:40:20
839,Someone NavajoWhite,SKU-100839,Main Warehouse,1087,270,Discontinued,2025-04-18T23:58:17
840,Local Tomato,SKU-100840,Main Warehouse,711,227,Low Stock,2023-11-07T17:13:53
841,Onto MediumVioletRed,SKU-100841,WH-A,421,209,Available,2024-03-06T08:56:08
842,Hair AliceBlue,SKU-100842,Main Warehouse,1325,75,Low Stock,2025-03-13T21:29:13
843,Include IndianRed,SKU-100843,WH-A,1811,55,Available,2024-09-13T19:45:09
844,Subject PaleGoldenRod,SKU-100844,WH-B,1138,205,Available,2024-09-21T15:26:51
845,President Orange,SKU-100845,WH-C,987,435,Backordered,2025-06-18T15:28:22
846,Site LightSlateGray,SKU-100846,Main Warehouse,1848,461,Available,2023-02-11T17:05:42
847,Beat GreenYellow,SKU-100847,WH-A,438,270,Available,2025-05-17T14:08:00
848,Still Ivory,SKU-100848,WH-B,674,72,Backordered,2025-04-16T01:06:13
849,Daughter Tomato,SKU-100849,WH-C,1494,135,Low Stock,2023-03-29T21:41:21
850,Result GreenYellow,SKU-100850,WH-C,630,47,Available,2025-02-01T16:43:23
851,Again GhostWhite,SKU-100851,WH-C,941,424,Available,2023-07-10T00:52:40
852,Act Salmon,SKU-100852,WH-C,477,167,Discontinued,2025-11-01T19:17:52
853,Explain Green,SKU-100853,WH-B,1148,132,Backordered,2023-06-23T20:42:48
854,Southern Brown,SKU-100854,WH-A,1960,386,Discontinued,2022-11-30T05:47:11
855,Head LawnGreen,SKU-100855,Main Warehouse,440,337,Available,2025-09-20T18:45:53
856,Game DarkBlue,SKU-100856,WH-C,1492,123,Low Stock,2024-02-13T19:12:36
857,Plan Yellow,SKU-100857,Main Warehouse,1010,14,Backordered,2023-11-27T13:40:52
858,Computer DeepSkyBlue,SKU-100858,Main Warehouse,1668,330,Discontinued,2025-02-11T21:18:41
859,Past Cyan,SKU-100859,WH-C,778,362,Low Stock,2023-05-02T13:17:58
860,Sell DarkRed,SKU-100860,WH-B,752,406,Low Stock,2023-06-25T14:10:15
861,Second DarkSlateGray,SKU-100861,WH-B,1076,473,Low Stock,2022-12-19T06:56:26
862,Meet Chartreuse,SKU-100862,WH-A,1556,401,Available,2024-11-03T02:49:51
863,Yard Tan,SKU-100863,WH-B,315,135,Backordered,2023-09-20T14:36:16
864,Executive Silver,SKU-100864,WH-B,85,233,Backordered,2023-10-17T22:41:45
865,Item LightPink,SKU-100865,Main Warehouse,1096,382,Backordered,2024-08-01T09:50:04
866,Certain MediumVioletRed,SKU-100866,Main Warehouse,993,474,Discontinued,2025-09-09T06:11:03
867,Mind OrangeRed,SKU-100867,Main Warehouse,1028,19,Discontinued,2025-05-07T05:20:48
868,Wind LawnGreen,SKU-100868,WH-C,663,420,Low Stock,2025-09-30T10:00:08
869,Culture DarkSalmon,SKU-100869,Main Warehouse,1993,147,Backordered,2023-06-23T23:20:46
870,Talk Yellow,SKU-100870,WH-C,1701,304,Discontinued,2022-11-22T08:54:47
871,Less LightSalmon,SKU-100871,WH-C,300,50,Low Stock,2023-01-27T05:52:01
872,Think Gainsboro,SKU-100872,WH-C,1302,112,Available,2025-08-09T23:07:10
873,Culture LightSeaGreen,SKU-100873,Main Warehouse,660,469,Backordered,2024-08-05T13:46:57
874,Happen DarkViolet,SKU-100874,WH-C,1228,331,Low Stock,2024-08-02T20:27:41
875,Off DarkOrchid,SKU-100875,Main Warehouse,562,285,Discontinued,2023-09-25T13:11:50
876,Teacher GhostWhite,SKU-100876,WH-C,178,361,Available,2023-12-16T16:13:13
877,Human SlateGray,SKU-100877,WH-C,1988,279,Discontinued,2025-10-14T04:59:13
878,Five Yellow,SKU-100878,WH-B,877,237,Backordered,2024-06-11T21:45:41
879,More LightSeaGreen,SKU-100879,WH-A,1718,393,Available,2024-04-20T06:43:09
880,Entire Tan,SKU-100880,Main Warehouse,869,141,Backordered,2023-11-04T21:36:43
881,Official LightCyan,SKU-100881,WH-B,549,323,Discontinued,2025-03-26T22:33:35
882,Left CadetBlue,SKU-100882,WH-C,1612,172,Available,2022-11-23T11:34:38
883,Certain MidnightBlue,SKU-100883,WH-C,1594,338,Discontinued,2025-04-25T03:33:43
884,Certain Plum,SKU-100884,WH-C,1816,67,Discontinued,2024-09-12T13:30:35
885,Full SaddleBrown,SKU-100885,Main Warehouse,1084,316,Discontinued,2023-11-04T22:54:46
886,Bank GoldenRod,SKU-100886,WH-B,1915,379,Available,2025-08-04T10:28:14
887,Drug MediumSeaGreen,SKU-100887,WH-A,1158,499,Low Stock,2024-02-02T02:05:33
888,Simply DarkSlateGray,SKU-100888,WH-C,1508,268,Low Stock,2024-09-15T11:52:12
889,Win DarkBlue,SKU-100889,WH-A,1710,66,Discontinued,2024-04-21T12:50:48
890,Case LawnGreen,SKU-100890,WH-B,1714,29,Available,2025-10-21T10:16:00
891,Daughter PeachPuff,SKU-100891,WH-C,1178,253,Low Stock,2023-04-10T23:44:40
892,Physical HotPink,SKU-100892,WH-B,1888,153,Low Stock,2024-08-07T22:27:14
893,Of Cornsilk,SKU-100893,WH-B,1073,153,Low Stock,2024-01-31T05:49:20
894,Start MediumAquaMarine,SKU-100894,WH-C,1581,349,Low Stock,2023-12-26T00:14:37
895,Put DarkKhaki,SKU-100895,Main Warehouse,781,220,Available,2023-05-25T22:03:04
896,Data LightSalmon,SKU-100896,WH-C,892,345,Available,2023-11-15T05:46:40
897,Election MediumVioletRed,SKU-100897,WH-A,1647,334,Available,2025-08-19T04:18:50
898,Little PaleGoldenRod,SKU-100898,WH-C,16,416,Low Stock,2023-03-04T04:15:05
899,Professional ForestGreen,SKU-100899,WH-B,1863,163,Available,2023-07-29T07:09:31
900,Marriage Moccasin,SKU-100900,WH-A,1717,447,Backordered,2023-02-16T18:13:51
901,Down LightSeaGreen,SKU-100901,WH-B,898,392,Low Stock,2024-03-10T13:24:03
902,Detail LightYellow,SKU-100902,WH-C,1627,461,Discontinued,2025-08-16T02:01:42
903,Agree LightYellow,SKU-100903,Main Warehouse,1529,258,Available,2024-12-24T00:05:36
